"","text","score","polarity"
"1","One reason that Trump's legal problems are coming to an end is that Merrick Garland refused to act, so Trump is skating free. https://t.co/yQMh1IHki9",-2,"Negatif"
"2","'I am a victim': How 'victimhood' remains the centerpiece of Trump’s message #DTrumpTheVictim https://t.co/V2DktgtPiN",0,"Netral"
"3","'Been to this party too many times': Rick Wilson predicts GOP will nominate Donald Trump in 2024 https://t.co/BL2rFdFrpb #DemocracyNotAutocracy #politicstoday #news #Equality #civilrights #politics #democracy #BlackTwitter #culture #PoliticsLive",0,"Netral"
"4","@GeraldoRivera How so glad I am, Geraldo, that DONALD TRUMP is my President... and NOT SICK F-CK BIDEN!!!!!

Furthermore, I plan to vote for President Trump AGAIN in 2024, giving him a 3rd term for the first time since FDR!

BTW... how are ""Sparky"" and his family?  Yesterday was his 100th!",1,"Positif"
"5","'Been to this party too many times': Rick Wilson predicts GOP will nominate Donald Trump in 2024 #WithoutIndictments https://t.co/MDOa4GGXfb",0,"Netral"
"6","Former national security adviser brands Trump as 'old and tired'

https://t.co/xCbSKKYcIJ",0,"Netral"
"7","As an Indonesian in Indonesia I will vote for Donald Trump in 2024 https://t.co/szPVuv1zk4",0,"Netral"
"8","'Been to this party too many times': Rick Wilson predicts GOP will nominate Donald Trump in 2024 https://t.co/o9PXkoVkKW",0,"Netral"
"9","Modesto Bee readers speak their minds about Dryden Golf Course’s clubhouse and Donald Trump’s 2024 run. | Letters  https://t.co/ZXF4fGbTBF",0,"Netral"
"10","Holocaust denier Nick Fuentes turns on Trump, calls for new 2024 candidate https://t.co/L684ZG8vXG",0,"Netral"
"11","'Been to this party too many times': Rick Wilson predicts GOP will nominate Donald Trump in 2024 via AlterNet https://t.co/twy5TPZEnU",0,"Netral"
"12","@RealTBONEHusker Fellow Patriots: Trump 2024. He has unfinished business. He gave over 7 years of his life dealing with daily torment for the purpose of Making America Great Again for We The People. Now, We The People owe Donald Trump the chance to seek retribution against all his lawless foes!",-3,"Negatif"
"13","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/wLQthgyyW7",0,"Netral"
"14","Yet to condemn Donald Trump for hosting antisemites Kanye West &amp; Nick Fuentes: All his potential 2024 GOP challengers, all of whom recently called for a need to turn the page &amp; adopt a more welcoming narrative moving forward (while failing to mention him) https://t.co/jI8GzvDOwd",-2,"Negatif"
"15","Fellow Patriots: Trump 2024. He has unfinished business. He gave over 7 years of his life dealing with daily torment for the purpose of Making America Great Again for We The People. Now, We The People owe Donald Trump the chance to seek retribution against all his lawless foes!",-3,"Negatif"
"16","Some rumination on Corruption and Donald Trump:  My latest, featured article on American Greatness: https://t.co/EKdVVsrDjN",0,"Netral"
"17","Nick Fuentes Calls for New 2024 Candidate. Fuentes has turned on Donald Trump just days after attending dinner with Trump at his Mar-a-Lago resort.(Newsweek)&amp; if you believe he has turned on him I still have that water front lot in the Sahara for sale!",0,"Netral"
"18","Thimmks he can “Slide” into Potus vs earn it !!!! TYPICAL 
@MariaBartiromo @WashTimes @latimes @HARRISFAULKNER @GovRonDeSantis 

Newsom Pledges Not To Run In 2024 Even If Biden Doesn’t https://t.co/1H07V5JVfy via @dailycaller",0,"Netral"
"19","Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/OMOblCxS5g #interesting",-2,"Negatif"
"20","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate

https://t.co/DiJII2A7Ls",0,"Netral"
"21","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/bTOPiTzrzN",0,"Netral"
"22","'It stinks of stupidity or ignorance... This is going to blow up in his face,'

Says Yigal Marcus of Republicans Overseas Israel about Donald Trump's meeting with Nick Fuentes, and adds voters will remember this incident at the ballot box in 2024

#ZoomIn | @davidmatlin https://t.co/blWrAFkXu3",-3,"Negatif"
"23","Ron DeSantis supports Donald Trump's 2024 re-election, otherwise, he would of declared his campaign by now.",1,"Positif"
"24","@GOP message to the GOP.. keeping it real Donald J Trump will not win a 2024 election you know it in America knows it..",1,"Positif"
"25","President Donald J Trump will MAGA 2024 ✨🥂✨",0,"Netral"
"26","Business Insider - Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/npEAk6Yexk https://t.co/fNDiuhTFtc",-2,"Negatif"
"27","Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/U1KXMqh3Ye",-2,"Negatif"
"28","Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/jUBkf2iKG3",-2,"Negatif"
"29","#News #Politics Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/XLqecjsSWx",-2,"Negatif"
"30","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/tOdHwwEwQg",0,"Netral"
"31","Donald Trump announces candidacy for US President in 2024 – DW – November 16, 2022 #breakingnews https://t.co/qlnNzMUfsc",0,"Netral"
"32","A Christian petition against Donald Trump's 2024 bid has amassed thousands of signatures https://t.co/QlugIKLQzj via @businessinsider",0,"Netral"
"33","Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain
https://t.co/6Rz9dgpSFN #trumpcrimefamily #donaldtrump #trump",-2,"Negatif"
"34","Oh the next couple of years are going to be so fun to watch. GOP infighting and people turning their back on TFG
https://t.co/DhpBGvAStP",1,"Positif"
"35","Trump Didn’t Clear the 2024 Field. His Campaign Is Smiling. https://t.co/wXCrphIJ8o via @thedailybeast",0,"Netral"
"36","Former national security adviser @AmbJohnBolton brands @realDonaldTrump as 'old and tired' 

https://t.co/sNQ5IZBDiD",0,"Netral"
"37","Many of Donald Trump's legal problems are coming to an end as he launches his 3rd presidential run — but the biggest risks remain https://t.co/brPdaPMkMy",-2,"Negatif"
"38","@DomestikTerror @dedkobrez .

   ""If I lose to him, you'll never see me again.""

 - D.Trump 9/19/20        

Trump announces he's running for president again in 2024

Typical fascist.

https://t.co/BrH3FI5BE6",-1,"Negatif"
"39","We want Donald J Trump for 2024 we want Ron DeSantis for 28 we're trying to keep it Republican be smart people https://t.co/IYfgDrsfib",1,"Positif"
"40","He is seen as the arch-rival of the former president Donald Trump, who began his campaign for re-election this month, seeking the Republican party nomination. DeSantis has yet to announce his intentions for 2024 https://t.co/BfnsN2kLmW",0,"Netral"
"41","For crying out loud. After bashing Trump for having Fuentes anywhere near Mar-a-Lago, Newsweek suddenly wants us to care what Fuentes thinks about Trump running. I have ever given a damn what Fuentes thinks about anything, and I'm not going to start now. https://t.co/EzvwwsuXoZ",-2,"Negatif"
"42","@CynthiaGayle9 @CynThuotte @dbongino I can't wait to cast my vote for Donald Trump as President of the US in 2024.",0,"Netral"
"43","The world changed because of Trump.
https://t.co/HMTvTRK2RL",0,"Netral"
"44","Ex-Trump Official Predicts How And Why Donald Trump Would Lose In 2024 https://t.co/IosjmgtXxM via @YahooNews Get REAL, Why are ALL of you so scared of PRESIDENT  TRUMP??? He WILL WIN... You are ALL sore LOSER. Americans Have TRUMP as # ONE.",-2,"Negatif"
"45","Christian Petition Against Donald Trump's 2024 Run Signed by Thousands https://t.co/M8TO5swXmQ",0,"Netral"
"46","'I am a victim': How 'victimhood' remains the centerpiece of Trump’s message https://t.co/Ru9q7jw2EO",0,"Netral"
"47","Holocaust denier Nick Fuentes turns on Trump, calls for new 2024 candidate https://t.co/kfMvgMqaZn&lt;""Christian Americans"" i.e. haters of everything not white &amp; all those not rich is a curious misnomer of everything our nation stands for. They are the cockroaches of society",0,"Netral"
"48","EASIEST TO BEAT
Democrats hope that Donald himself, will be the Republican’s, 2024 choice.
https://t.co/uHBFT4OjnN",0,"Netral"
"49","Fuentes has criticized the former president after he attended dinner with him at his Mar-a-Lago resort on Tuesday night. https://t.co/XrkO9AyRds",-1,"Negatif"
"50","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/IoHsriQYnu",0,"Netral"
"51","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/dCBrdXFMvg",0,"Netral"
"52","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate
https://t.co/BwdZl84Vuf #trumpcrimefamily #donaldtrump #trump",0,"Netral"
"53","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate https://t.co/WJiZ3FTcW3",0,"Netral"
"54","@WaldieWaldie6 Lindsey Graham pulled a ambush on Trump by talking him into the Woodward interview remember that? Donald will continue to be attacked from all angles until he takes office in 2024 when snake heads will be bitten off. That fear runs deep since the Election Steal in 2020.",-2,"Negatif"
"55","Ex-adviser assesses Trump’s 2024 chances https://t.co/UdyjQShH1Z

The former US president would drag many Republican Party candidates down with him, John Bolton warns

Former US President Donald Trump may not only fail to win a second term, but he could… https://t.co/oQFRXlH67O https://t.co/OG2qXwd10D",-1,"Negatif"
"56","Newsom Pledges Not To Run In 2024 Even If Biden Doesn’t https://t.co/b6ImIJAIpj via @dailycaller ""Birds of a feather...""",0,"Netral"
"57","Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate

https://t.co/TFlg5jWYQ5",0,"Netral"
"58","#DonaldTrump #Maga Nick Fuentes Turns on Donald Trump, Calls for New 2024 Candidate: Fuentes has criticized the former president after he attended dinner with him at his Mar-a-Lago resort on Tuesday night. https://t.co/PY89IK6vKz",-1,"Negatif"
